Country,DAA,YearMon,timeID,unitID,post_treat,treated
BG,84.65645833333333,2017-2,26,3,0,0
BG,62.2982123655914,2017-3,27,3,0,0
BG,68.32280555555556,2017-4,28,3,0,0
BG,70.92083333333333,2017-5,29,3,0,0
BG,68.29865277777778,2017-6,30,3,0,0
BG,82.46049731182796,2017-7,31,3,0,0
BG,75.14911290322581,2017-8,32,3,0,0
BG,73.91345833333334,2017-9,33,3,0,0
BG,81.29860215053763,2017-10,34,3,0,0
BG,82.39295833333334,2017-11,35,3,0,0
BG,75.00512096774193,2017-12,36,3,0,0
BG,72.94995967741936,2018-1,37,3,0,0
BG,71.37154761904762,2018-2,38,3,0,0
BG,53.80155913978495,2018-3,39,3,0,0
BG,55.45084722222222,2018-4,40,3,0,0
BG,72.96873655913978,2018-5,41,3,0,0
BG,70.49808333333333,2018-6,42,3,0,0
BG,64.98282258064516,2018-7,43,3,0,0
BG,78.3359005376344,2018-8,44,3,0,0
BG,92.33629166666667,2018-9,45,3,0,0
BG,101.72708333333334,2018-10,46,3,0,0
BG,89.14681944444445,2018-11,47,3,0,0
BG,111.91616935483871,2018-12,48,3,0,0
BG,131.7832258064516,2019-1,49,3,0,0
BG,77.55626488095238,2019-2,50,3,0,0
BG,68.7191129032258,2019-3,51,3,0,0
BG,81.33513888888889,2019-4,52,3,0,0
BG,81.42110215053764,2019-5,53,3,0,0
BG,79.1811388888889,2019-6,54,3,0,0
BG,108.51744623655914,2019-7,55,3,0,0
BG,101.99181451612903,2019-8,56,3,0,0
BG,108.15120833333333,2019-9,57,3,0,0
BG,109.14684139784946,2019-10,58,3,0,0
BG,81.09444444444445,2019-11,59,3,0,0
BG,83.1432123655914,2019-12,60,3,0,0
BG,107.54625,2020-1,61,3,0,0
BG,80.98270114942528,2020-2,62,3,0,0
BG,55.29873655913978,2020-3,63,3,0,0
BG,48.56090277777778,2020-4,64,3,0,0
BG,45.685564516129034,2020-5,65,3,0,0
BG,59.648180555555555,2020-6,66,3,0,0
BG,71.94025537634408,2020-7,67,3,0,0
BG,73.22635752688171,2020-8,68,3,0,0
BG,90.38380555555555,2020-9,69,3,0,0
BG,84.34369623655914,2020-10,70,3,0,0
BG,93.32245833333333,2020-11,71,3,0,0
BG,111.01130376344086,2020-12,72,3,0,0
BG,103.98379032258065,2021-1,73,3,0,0
BG,91.66559523809524,2021-2,74,3,0,0
