unit,rmspe_ratio,rank,p_val,n,outcome,treated,CT
DE,2.93925714032919,9,0.375,48,FOOD,ES,FALSE
DK,3.02204246621216,8,0.3333333333333333,48,FOOD,ES,FALSE
EE,1.69265217837158,19,0.7916666666666666,48,FOOD,ES,FALSE
GR,0.662707315792237,24,1,48,FOOD,ES,FALSE
ES,1.22542021743584,20,0.8333333333333334,48,FOOD,ES,FALSE
FI,1.16487773873596,21,0.875,48,FOOD,ES,FALSE
HR,3.39348915778023,6,0.25,48,FOOD,ES,FALSE
HU,2.84762563824444,10,0.4166666666666667,48,FOOD,ES,FALSE
IE,1.73303840463623,18,0.75,48,FOOD,ES,FALSE
IT,2.55583237538046,12,0.5,48,FOOD,ES,FALSE
LT,2.57617019158711,11,0.4583333333333333,48,FOOD,ES,FALSE
LU,7.6775045215282,3,0.125,48,FOOD,ES,FALSE
LV,2.54223757835888,13,0.5416666666666666,48,FOOD,ES,FALSE
NL,2.50853512660394,14,0.5833333333333334,48,FOOD,ES,FALSE
NO,0.877219613498083,23,0.9583333333333334,48,FOOD,ES,FALSE
PL,5.24316140717412,4,0.16666666666666666,48,FOOD,ES,FALSE
RO,8.59774746604601,2,0.08333333333333333,48,FOOD,ES,FALSE
SE,3.90007741803,5,0.20833333333333334,48,FOOD,ES,FALSE
SI,2.47472512131287,15,0.625,48,FOOD,ES,FALSE
SK,2.0758575502126,16,0.6666666666666666,48,FOOD,ES,FALSE
AT,17.4704395911629,20,0.8333333333333334,48,NRG,ES,FALSE
BE,2.58773335644886,16,0.6666666666666666,48,NRG,ES,FALSE
BG,9.58091886141087,1,0.041666666666666664,48,NRG,ES,FALSE
CZ,4.07145168974435,10,0.4166666666666667,48,NRG,ES,FALSE
DE,5.74285368156434,6,0.25,48,NRG,ES,FALSE
DK,3.76443724213082,11,0.4583333333333333,48,NRG,ES,FALSE
EE,4.43106361544958,8,0.3333333333333333,48,NRG,ES,FALSE
GR,14.1531309337618,21,0.875,48,NRG,ES,FALSE
ES,10.599096686111,22,0.9166666666666666,48,NRG,ES,FALSE
FI,8.67886494052393,2,0.08333333333333333,48,NRG,ES,FALSE
HR,2.01441357380594,18,0.75,48,NRG,ES,FALSE
HU,4.2561059523717,9,0.375,48,NRG,ES,FALSE
IE,8.09323222547763,3,0.125,48,NRG,ES,FALSE
IT,19.9983465868317,19,0.7916666666666666,48,NRG,ES,FALSE
LT,6.57360019297815,4,0.16666666666666666,48,NRG,ES,FALSE
LU,3.11246350996057,13,0.5416666666666666,48,NRG,ES,FALSE
LV,10.0812197780945,23,0.9583333333333334,48,NRG,ES,FALSE
NL,3.44060176303689,12,0.5,48,NRG,ES,FALSE
NO,0.708995308029281,24,1,48,NRG,ES,FALSE
PL,2.85872478930891,14,0.5833333333333334,48,NRG,ES,FALSE
RO,5.87217432042636,5,0.20833333333333334,48,NRG,ES,FALSE
SE,4.70174377611965,7,0.2916666666666667,48,NRG,ES,FALSE
SI,2.73663855520846,15,0.625,48,NRG,ES,FALSE
SK,2.09278098045402,17,0.7083333333333334,48,NRG,ES,FALSE
AT,1.488387299672,12,0.5,48,IGD_NNRG,ES,FALSE
BE,0.887833036400184,20,0.8333333333333334,48,IGD_NNRG,ES,FALSE
BG,1.18385841240768,15,0.625,48,IGD_NNRG,ES,FALSE
CZ,1.75961061500568,9,0.375,48,IGD_NNRG,ES,FALSE
DE,1.55072604053558,11,0.4583333333333333,48,IGD_NNRG,ES,FALSE
DK,0.648908545119156,23,0.9583333333333334,48,IGD_NNRG,ES,FALSE
EE,3.40521769514481,2,0.08333333333333333,48,IGD_NNRG,ES,FALSE
GR,1.57336184726498,10,0.4166666666666667,48,IGD_NNRG,ES,FALSE
ES,1.46206947394808,13,0.5416666666666666,48,IGD_NNRG,ES,FALSE
FI,3.48426289129905,1,0.041666666666666664,48,IGD_NNRG,ES,FALSE
HR,2.54533072238422,7,0.2916666666666667,48,IGD_NNRG,ES,FALSE
HU,12.1172423666879,8,0.3333333333333333,48,IGD_NNRG,ES,FALSE
IE,1.30139734537076,14,0.5833333333333334,48,IGD_NNRG,ES,FALSE
IT,1.06567969179826,17,0.7083333333333334,48,IGD_NNRG,ES,FALSE
LT,1.09186467503675,16,0.6666666666666666,48,IGD_NNRG,ES,FALSE
LU,0.939922198858897,19,0.7916666666666666,48,IGD_NNRG,ES,FALSE
LV,1.00430630099589,18,0.75,48,IGD_NNRG,ES,FALSE
NL,2.60428112134133,6,0.25,48,IGD_NNRG,ES,FALSE
NO,0.514352119103975,24,1,48,IGD_NNRG,ES,FALSE
PL,2.94989981110508,4,0.16666666666666666,48,IGD_NNRG,ES,FALSE
RO,0.839045264333605,22,0.9166666666666666,48,IGD_NNRG,ES,FALSE
SE,2.86449027268677,5,0.20833333333333334,48,IGD_NNRG,ES,FALSE
SI,3.12397308626391,3,0.125,48,IGD_NNRG,ES,FALSE
SK,0.877941979924872,21,0.875,48,IGD_NNRG,ES,FALSE
AT,2.09111130889044,16,0.6666666666666666,48,TOT_X_NRG,ES,FALSE
BE,2.17286015269566,14,0.5833333333333334,48,TOT_X_NRG,ES,FALSE
BG,3.14688577086988,10,0.4166666666666667,48,TOT_X_NRG,ES,FALSE
CZ,6.55176303815733,1,0.041666666666666664,48,TOT_X_NRG,ES,FALSE
DE,3.25356128194858,9,0.375,48,TOT_X_NRG,ES,FALSE
DK,2.0684560982561,17,0.7083333333333334,48,TOT_X_NRG,ES,FALSE
EE,1.33780127798275,20,0.8333333333333334,48,TOT_X_NRG,ES,FALSE
GR,0.876122299204741,23,0.9583333333333334,48,TOT_X_NRG,ES,FALSE
ES,4.43168683925963,5,0.20833333333333334,48,TOT_X_NRG,ES,FALSE
FI,2.68909635130603,11,0.4583333333333333,48,TOT_X_NRG,ES,FALSE
HR,5.21894881369329,4,0.16666666666666666,48,TOT_X_NRG,ES,FALSE
HU,3.93285965425765,7,0.2916666666666667,48,TOT_X_NRG,ES,FALSE
