date,obs,synth,gaps,upper,lower,method,n,outcome,treated,CT
2020-08-15,105.5,105.58870343665856,-0.0887034366585624,NA,NA,iid,96,FOOD,PT,TRUE
2020-09-15,105.28,105.5319796153048,-0.25197961530480484,NA,NA,iid,96,FOOD,PT,TRUE
2020-10-15,105.67,105.56046411758392,0.10953588241608259,NA,NA,iid,96,FOOD,PT,TRUE
2020-11-15,105.63,105.47657381550495,0.1534261844950464,NA,NA,iid,96,FOOD,PT,TRUE
2020-12-15,104.86,104.70173643140694,0.1582635685930569,NA,NA,iid,96,FOOD,PT,TRUE
2021-01-15,105.52,105.24835835450098,0.2716416454990167,NA,NA,iid,96,FOOD,PT,TRUE
2021-02-15,104.88,105.09027009825259,-0.21027009825259313,NA,NA,iid,96,FOOD,PT,TRUE
2021-03-15,105.31,105.0796501705311,0.23034982946890636,NA,NA,iid,96,FOOD,PT,TRUE
2021-04-15,105.96,105.80164612483894,0.1583538751610547,NA,NA,iid,96,FOOD,PT,TRUE
2021-05-15,106.28,106.02977174610163,0.25022825389837067,NA,NA,iid,96,FOOD,PT,TRUE
2021-06-15,106.51,106.21426588829,0.2957341117100043,NA,NA,iid,96,FOOD,PT,TRUE
2021-07-15,106.69,106.44813917560747,0.24186082439253198,NA,NA,iid,96,FOOD,PT,TRUE
2021-08-15,106.31,106.49096709334819,-0.18096709334818684,NA,NA,iid,96,FOOD,PT,TRUE
2021-09-15,106.04,106.9662462879345,-0.9262462879344895,NA,NA,iid,96,FOOD,PT,TRUE
2021-10-15,106.34,107.11048569213331,-0.7704856921333061,NA,NA,iid,96,FOOD,PT,TRUE
2021-11-15,106.99,107.66765689186458,-0.6776568918645864,NA,NA,iid,96,FOOD,PT,TRUE
2021-12-15,107.47,107.56585171180073,-0.0958517118007336,NA,NA,iid,96,FOOD,PT,TRUE
2022-01-15,109.01,109.380138890171,-0.3701388901709919,NA,NA,iid,96,FOOD,PT,TRUE
2022-02-15,109.27,110.9667930486267,-1.6967930486267022,NA,NA,iid,96,FOOD,PT,TRUE
2022-03-15,112.19,111.7979131837471,0.392086816252899,NA,NA,iid,96,FOOD,PT,TRUE
2022-04-15,115.29,113.78784470047597,1.5021552995240341,NA,NA,iid,96,FOOD,PT,TRUE
2022-05-15,117.86,115.76828442911243,2.0917155708875725,NA,NA,iid,96,FOOD,PT,TRUE
2022-06-15,118.94,117.66300659051734,1.2769934094826567,2.7090000000000005,-0.25799999999999956,iid,96,FOOD,PT,TRUE
2022-07-15,119.66,118.87686150888592,0.7831384911140731,2.6880000000000006,-0.8949999999999996,iid,96,FOOD,PT,TRUE
2022-08-15,120.54,119.44718820863,1.0928117913700106,2.726,-0.46899999999999986,iid,96,FOOD,PT,TRUE
2022-09-15,121.29,120.29019674935998,0.9998032506400278,2.6580000000000004,-0.49899999999999967,iid,96,FOOD,PT,TRUE
2022-10-15,123.53,121.883787227216,1.646212772783997,3.314,0.15200000000000014,iid,96,FOOD,PT,TRUE
2022-11-15,125.65,122.99669242702481,2.6533075729751943,4.3950000000000005,1.1050000000000004,iid,96,FOOD,PT,TRUE
2022-12-15,126.27,122.9194181101044,3.3505818898955937,5.276000000000001,1.1720000000000006,iid,96,FOOD,PT,TRUE
2014-06-15,106.77,107.58350707052007,-0.8135070705200746,NA,NA,iid,96,NRG,PT,TRUE
2014-07-15,106.88,108.15615071891024,-1.2761507189102446,NA,NA,iid,96,NRG,PT,TRUE
2014-08-15,105.95,107.59035158097556,-1.6403515809755618,NA,NA,iid,96,NRG,PT,TRUE
2014-09-15,105.95,107.17796155212805,-1.2279615521280505,NA,NA,iid,96,NRG,PT,TRUE
2014-10-15,104.54,106.96158621046338,-2.4215862104633743,NA,NA,iid,96,NRG,PT,TRUE
2014-11-15,102.87,105.19135423319065,-2.3213542331906467,NA,NA,iid,96,NRG,PT,TRUE
2014-12-15,98.97,103.26790183642717,-4.297901836427172,NA,NA,iid,96,NRG,PT,TRUE
2015-01-15,96.8,99.38142234574948,-2.5814223457494876,NA,NA,iid,96,NRG,PT,TRUE
2015-02-15,99.09,99.52651544153733,-0.436515441537324,NA,NA,iid,96,NRG,PT,TRUE
2015-03-15,101.1,102.3777964527858,-1.2777964527858074,NA,NA,iid,96,NRG,PT,TRUE
2015-04-15,101.89,101.52137037349905,0.36862962650094744,NA,NA,iid,96,NRG,PT,TRUE
2015-05-15,103.7,102.66360617890075,1.036393821099253,NA,NA,iid,96,NRG,PT,TRUE
2015-06-15,103.89,102.41781396425529,1.4721860357447127,NA,NA,iid,96,NRG,PT,TRUE
2015-07-15,103.13,101.78376081405199,1.3462391859480078,NA,NA,iid,96,NRG,PT,TRUE
2015-08-15,100.67,99.83090812060071,0.839091879399291,NA,NA,iid,96,NRG,PT,TRUE
2015-09-15,98.32,98.26509921143209,0.054900788567906034,NA,NA,iid,96,NRG,PT,TRUE
2015-10-15,97.79,97.96100913097727,-0.1710091309772679,NA,NA,iid,96,NRG,PT,TRUE
2015-11-15,97.73,97.55221434307255,0.17778565692745474,NA,NA,iid,96,NRG,PT,TRUE
2015-12-15,95.89,96.71855478316841,-0.8285547831684141,NA,NA,iid,96,NRG,PT,TRUE
2016-01-15,95.39,94.3704592975017,1.019540702498304,NA,NA,iid,96,NRG,PT,TRUE
2016-02-15,92.35,93.32737219211569,-0.9773721921156948,NA,NA,iid,96,NRG,PT,TRUE
2016-03-15,94.75,94.0566369658965,0.6933630341034984,NA,NA,iid,96,NRG,PT,TRUE
2016-04-15,95.92,93.44526109153098,2.4747389084690212,NA,NA,iid,96,NRG,PT,TRUE
2016-05-15,96.42,94.21414621993029,2.2058537800697167,NA,NA,iid,96,NRG,PT,TRUE
