unit,rmspe_ratio,rank,p_val,n,outcome,treated,CT
AT,1.67966346234788,16,0.6666666666666666,48,TOT_X_NRG,ES,TRUE
BE,2.31093507435357,13,0.5416666666666666,48,TOT_X_NRG,ES,TRUE
BG,1.52696221098415,18,0.75,48,TOT_X_NRG,ES,TRUE
CZ,5.54995678175594,4,0.16666666666666666,48,TOT_X_NRG,ES,TRUE
DE,3.09413709932276,9,0.375,48,TOT_X_NRG,ES,TRUE
DK,1.61272190121202,17,0.7083333333333334,48,TOT_X_NRG,ES,TRUE
EE,1.46632316631178,19,0.7916666666666666,48,TOT_X_NRG,ES,TRUE
GR,1.46612319989868,20,0.8333333333333334,48,TOT_X_NRG,ES,TRUE
ES,3.50625285694181,7,0.2916666666666667,48,TOT_X_NRG,ES,TRUE
FI,2.31889785454768,12,0.5,48,TOT_X_NRG,ES,TRUE
HR,5.21246173792762,5,0.20833333333333334,48,TOT_X_NRG,ES,TRUE
HU,6.65611670651442,2,0.08333333333333333,48,TOT_X_NRG,ES,TRUE
IE,1.77115293275503,14,0.5833333333333334,48,TOT_X_NRG,ES,TRUE
IT,2.95671205466941,10,0.4166666666666667,48,TOT_X_NRG,ES,TRUE
LT,0.605160383371771,23,0.9583333333333334,48,TOT_X_NRG,ES,TRUE
LU,6.09092277983834,3,0.125,48,TOT_X_NRG,ES,TRUE
LV,3.54744251867235,6,0.25,48,TOT_X_NRG,ES,TRUE
NL,1.26702746027743,21,0.875,48,TOT_X_NRG,ES,TRUE
NO,3.19171671439316,8,0.3333333333333333,48,TOT_X_NRG,ES,TRUE
PL,0.54919085773198,24,1,48,TOT_X_NRG,ES,TRUE
RO,8.65856359943195,1,0.041666666666666664,48,TOT_X_NRG,ES,TRUE
SE,1.14565243577619,22,0.9166666666666666,48,TOT_X_NRG,ES,TRUE
SI,2.67276066765435,11,0.4583333333333333,48,TOT_X_NRG,ES,TRUE
SK,1.74981793212133,15,0.625,48,TOT_X_NRG,ES,TRUE
AT,3.46736763881345,10,0.47619047619047616,72,DAA,ES,TRUE
BE,1.80803422816672,20,0.9523809523809523,72,DAA,ES,TRUE
CZ,4.74262776819664,8,0.38095238095238093,72,DAA,ES,TRUE
DE,42.1229232591581,7,0.3333333333333333,72,DAA,ES,TRUE
DK,4.36044862475763,9,0.42857142857142855,72,DAA,ES,TRUE
EE,19.0139608304572,17,0.8095238095238095,72,DAA,ES,TRUE
ES,16.8328759702186,18,0.8571428571428571,72,DAA,ES,TRUE
FI,3.34932822582241,12,0.5714285714285714,72,DAA,ES,TRUE
GR,3.12495398531047,13,0.6190476190476191,72,DAA,ES,TRUE
HU,2.16138363282856,16,0.7619047619047619,72,DAA,ES,TRUE
IT,2.55379257852018,15,0.7142857142857143,72,DAA,ES,TRUE
LT,8.74512757703431,1,0.047619047619047616,72,DAA,ES,TRUE
LU,42.7284279935139,6,0.2857142857142857,72,DAA,ES,TRUE
LV,10.2398409261906,19,0.9047619047619048,72,DAA,ES,TRUE
NL,2.73997314959259,14,0.6666666666666666,72,DAA,ES,TRUE
NO,3.45784090064867,11,0.5238095238095238,72,DAA,ES,TRUE
PL,7.61485104489244,2,0.09523809523809523,72,DAA,ES,TRUE
RO,0.454496726574284,21,1,72,DAA,ES,TRUE
SE,6.81104984962359,4,0.19047619047619047,72,DAA,ES,TRUE
SI,7.12089733899979,3,0.14285714285714285,72,DAA,ES,TRUE
SK,6.40564623679313,5,0.23809523809523808,72,DAA,ES,TRUE
AT,5.03082915055735,6,0.25,72,CP00,ES,TRUE
BE,2.39663172711747,18,0.75,72,CP00,ES,TRUE
BG,1.53389154281495,22,0.9166666666666666,72,CP00,ES,TRUE
CZ,3.50243498980517,14,0.5833333333333334,72,CP00,ES,TRUE
DE,4.64148895991085,9,0.375,72,CP00,ES,TRUE
DK,4.06153584078701,10,0.4166666666666667,72,CP00,ES,TRUE
EE,3.5840942483849,13,0.5416666666666666,72,CP00,ES,TRUE
GR,1.32894478931739,23,0.9583333333333334,72,CP00,ES,TRUE
ES,11.555824808345,20,0.8333333333333334,72,CP00,ES,TRUE
FI,6.73714104517162,4,0.16666666666666666,72,CP00,ES,TRUE
HR,3.72715991681386,12,0.5,72,CP00,ES,TRUE
HU,12.5292227344945,19,0.7916666666666666,72,CP00,ES,TRUE
IE,1.26752702072003,24,1,72,CP00,ES,TRUE
IT,7.26836104349077,3,0.125,72,CP00,ES,TRUE
LT,3.99542866017942,11,0.4583333333333333,72,CP00,ES,TRUE
