p_val,att,se,method,n,outcome,treated,CT
0.3888888888888889,NA,NA,mb,48,IGD,PT,TRUE
0.8861138861138861,NA,NA,iid 1000,48,FOOD,PT,TRUE
0.8664267146570686,NA,NA,iid 5000,48,FOOD,PT,TRUE
0.86011398860114,NA,NA,iid 10000,48,FOOD,PT,TRUE
0.8703703703703703,NA,NA,mb,48,FOOD,PT,TRUE
0.5204795204795205,NA,NA,iid 1000,48,NRG,PT,TRUE
0.5486902619476105,NA,NA,iid 5000,48,NRG,PT,TRUE
0.5407459254074592,NA,NA,iid 10000,48,NRG,PT,TRUE
0.5370370370370371,NA,NA,mb,48,NRG,PT,TRUE
0.6013986013986014,NA,NA,iid 1000,48,IGD_NNRG,PT,TRUE
0.5808838232353529,NA,NA,iid 5000,48,IGD_NNRG,PT,TRUE
0.5779422057794221,NA,NA,iid 10000,48,IGD_NNRG,PT,TRUE
0.42592592592592593,NA,NA,mb,48,IGD_NNRG,PT,TRUE
0.8651348651348651,NA,NA,iid 1000,48,TOT_X_NRG,PT,TRUE
0.8674265146970606,NA,NA,iid 5000,48,TOT_X_NRG,PT,TRUE
0.8637136286371363,NA,NA,iid 10000,48,TOT_X_NRG,PT,TRUE
0.7777777777777778,NA,NA,mb,48,TOT_X_NRG,PT,TRUE
0.002997002997002997,NA,NA,iid 1000,72,DAA,PT,TRUE
5.998800239952009e-4,NA,NA,iid 5000,72,DAA,PT,TRUE
5.999400059994001e-4,NA,NA,iid 10000,72,DAA,PT,TRUE
0.02531645569620253,NA,NA,mb,72,DAA,PT,TRUE
0.7182817182817183,NA,NA,iid 1000,72,CP00,PT,TRUE
0.7180563887222555,NA,NA,iid 5000,72,CP00,PT,TRUE
0.7123287671232877,NA,NA,iid 10000,72,CP00,PT,TRUE
0.6282051282051282,NA,NA,mb,72,CP00,PT,TRUE
0.6053946053946054,NA,NA,iid 1000,72,GD,PT,TRUE
0.58488302339532094,NA,NA,iid 5000,72,GD,PT,TRUE
0.5784421557844216,NA,NA,iid 10000,72,GD,PT,TRUE
0.5897435897435898,NA,NA,mb,72,GD,PT,TRUE
0.8061938061938062,NA,NA,iid 1000,72,SERV,PT,TRUE
0.8114377124575085,NA,NA,iid 5000,72,SERV,PT,TRUE
0.8060193980601941,NA,NA,iid 10000,72,SERV,PT,TRUE
0.7307692307692307,NA,NA,mb,72,SERV,PT,TRUE
0.28771228771228774,NA,NA,iid 1000,72,IGD,PT,TRUE
0.2629474105178964,NA,NA,iid 5000,72,IGD,PT,TRUE
0.2686731326867313,NA,NA,iid 10000,72,IGD,PT,TRUE
0.23076923076923078,NA,NA,mb,72,IGD,PT,TRUE
0.9000999000999002,NA,NA,iid 1000,72,FOOD,PT,TRUE
0.9038192361527694,NA,NA,iid 5000,72,FOOD,PT,TRUE
0.9056094390560945,NA,NA,iid 10000,72,FOOD,PT,TRUE
0.9102564102564102,NA,NA,mb,72,FOOD,PT,TRUE
0.6503496503496503,NA,NA,iid 1000,72,NRG,PT,TRUE
0.6350729854029193,NA,NA,iid 5000,72,NRG,PT,TRUE
0.6361363863613639,NA,NA,iid 10000,72,NRG,PT,TRUE
0.5128205128205128,NA,NA,mb,72,NRG,PT,TRUE
0.7362637362637363,NA,NA,iid 1000,72,IGD_NNRG,PT,TRUE
0.7486502699460108,NA,NA,iid 5000,72,IGD_NNRG,PT,TRUE
0.7477252274772523,NA,NA,iid 10000,72,IGD_NNRG,PT,TRUE
0.6666666666666666,NA,NA,mb,72,IGD_NNRG,PT,TRUE
0.9500499500499501,NA,NA,iid 1000,72,TOT_X_NRG,PT,TRUE
0.9418116376724655,NA,NA,iid 5000,72,TOT_X_NRG,PT,TRUE
0.9428057194280572,NA,NA,iid 10000,72,TOT_X_NRG,PT,TRUE
0.8333333333333334,NA,NA,mb,72,TOT_X_NRG,PT,TRUE
9.99000999000999e-4,NA,NA,iid 1000,96,DAA,PT,TRUE
1.999600079984003e-4,NA,NA,iid 5000,96,DAA,PT,TRUE
2.9997000299970003e-4,NA,NA,iid 10000,96,DAA,PT,TRUE
0.010416666666666666,NA,NA,mb,96,DAA,PT,TRUE
0.34065934065934067,NA,NA,iid 1000,96,CP00,PT,TRUE
0.35392921415716855,NA,NA,iid 5000,96,CP00,PT,TRUE
0.34426557344265574,NA,NA,iid 10000,96,CP00,PT,TRUE
0.37254901960784315,NA,NA,mb,96,CP00,PT,TRUE
0.0899100899100899,NA,NA,iid 1000,96,GD,PT,TRUE
0.09018196360727854,NA,NA,iid 5000,96,GD,PT,TRUE
0.09709029097090291,NA,NA,iid 10000,96,GD,PT,TRUE
0.08823529411764706,NA,NA,mb,96,GD,PT,TRUE
0.5704295704295704,NA,NA,iid 1000,96,SERV,PT,TRUE
0.5726854629074185,NA,NA,iid 5000,96,SERV,PT,TRUE
0.5713428657134287,NA,NA,iid 10000,96,SERV,PT,TRUE
0.5392156862745098,NA,NA,mb,96,SERV,PT,TRUE
0.1018981018981019,NA,NA,iid 1000,96,IGD,PT,TRUE
0.10217956408718255,NA,NA,iid 5000,96,IGD,PT,TRUE
0.10538946105389461,NA,NA,iid 10000,96,IGD,PT,TRUE
0.08823529411764706,NA,NA,mb,96,IGD,PT,TRUE
0.5314685314685315,NA,NA,iid 1000,96,FOOD,PT,TRUE
0.5344931013797241,NA,NA,iid 5000,96,FOOD,PT,TRUE
0.5366463353664633,NA,NA,iid 10000,96,FOOD,PT,TRUE
0.4215686274509804,NA,NA,mb,96,FOOD,PT,TRUE
0.5834165834165834,NA,NA,iid 1000,96,NRG,PT,TRUE
0.5812837432513497,NA,NA,iid 5000,96,NRG,PT,TRUE
0.5738426157384262,NA,NA,iid 10000,96,NRG,PT,TRUE
0.5392156862745098,NA,NA,mb,96,NRG,PT,TRUE
0.7192807192807192,NA,NA,iid 1000,96,IGD_NNRG,PT,TRUE
0.7210557888422315,NA,NA,iid 5000,96,IGD_NNRG,PT,TRUE
0.7269273072692731,NA,NA,iid 10000,96,IGD_NNRG,PT,TRUE
0.6764705882352942,NA,NA,mb,96,IGD_NNRG,PT,TRUE
0.8731268731268731,NA,NA,iid 1000,96,TOT_X_NRG,PT,TRUE
0.8636272745450909,NA,NA,iid 5000,96,TOT_X_NRG,PT,TRUE
0.8671132886711329,NA,NA,iid 10000,96,TOT_X_NRG,PT,TRUE
0.6862745098039216,NA,NA,mb,96,TOT_X_NRG,PT,TRUE
